title,date,venue,description,category,categories,url,image_url
Capturing the Moment: Glasgow Then and Now,13th June 2025 - 21st December 2025,Venue TBA,"To celebrate Glasgow's 850th anniversary, students from Shawlands Academy have teamed up with Glasgow Life Museums to celebrate by curating this touring exhibition!",exhibitions,exhibitions|family-and-kids|history,https://www.whatsonglasgow.co.uk/event/156560-capturing-the-moment:-glasgow-then-and-now/,https://www.whatsonnetwork.co.uk/uploads/800x600/cc0461babfe703d31a75e158fb912f4d.jpg
Carmunnock Heritage Trail,1st January 2025 - 31st December 2025,"Carmunnock Parish Church, Glasgow South Side","Take a unique, free, self-guided, multi-media tour around Glasgow's last village - Carmunnock by following the Carmunnock Heritage Trail!",family-and-kids,family-and-kids|history|outdoor|tour,https://www.whatsonglasgow.co.uk/event/135455-carmunnock-heritage-trail/,https://www.whatsonnetwork.co.uk/uploads/800x600/beca4583cae5f32c57bf840b04d937aa.jpg
"Carol Dewart RSW PAI RGI, Jennifer Irvine RSW RGI, Paul Murray RSW PAI RGI & Jacqueline Orr RSW RGI PAI",4th October 2025 - 26th October 2025,"Annan Gallery, Glasgow West End","Annan Gallery are delighted to present an exhibition showcasing the work of four celebrated Scottish artists: Carol Dewart, Jennifer Irvine, Paul Murray and Jacqueline Orr.",exhibitions,exhibitions,"https://www.whatsonglasgow.co.uk/event/162559-carol-dewart-rsw-pai-rgi,-jennifer-irvine-rsw-rgi,-paul-murray-rsw-pai-rgi-&-jacqueline-orr-rsw-rgi-pai/",https://www.whatsonnetwork.co.uk/uploads/800x600/291061a330b556108c905ebf64ea58e1.jpg
Castlemilk Park Pumpkin Festival,25th October 2025 - 29th October 2025,"Castlemilk Park, Glasgow South Side","Castlemilk Park will be holding their annual Pumpkin Festival between Saturday 25th and Wednesday 29th October featuring pumpkin carving, illumination of the stables and the Spooky Walk!",community,community|family-and-kids|outdoor,https://www.whatsonglasgow.co.uk/event/023829-castlemilk-park-pumpkin-festival/,https://www.whatsonnetwork.co.uk/uploads/800x600/95699e8e64f83dbe3efb74bf2c68c8ea.jpg
Casual Chess Sundays,27th April 2025 - 28th December 2025,"Top Hat & Bishop, Glasgow City Centre",Join Top Hat & Bishop for their Sunday afternoon chess sessions... suitable for all ages and skill levels!,family-and-kids,family-and-kids|gaming,https://www.whatsonglasgow.co.uk/event/139936-casual-chess-sundays/,https://www.whatsonnetwork.co.uk/uploads/800x600/5224d81f7c9d159c1dbbec141eb4a9e5.jpg
Casual Sunday Board Games - Drop-In,21st September 2025 - 28th December 2025,"The Merchants Guild, Glasgow City Centre","Sundays are for kicking back and playing games. Whether you;re bringing your friends or wanting to meet new people over a board game, The Merchant's Guild have got you covered.",gaming,gaming,https://www.whatsonglasgow.co.uk/event/161735-casual-sunday-board-games---drop-in/,https://www.whatsonnetwork.co.uk/uploads/800x600/5ef2697f91a9bedd692603b7934f4485.jpg
Casual Sunday Chess,21st September 2025 - 28th December 2025,"The Merchants Guild, Glasgow City Centre","Whether you're a seasoned chess player or just learning the ropes, drop in for some relaxed, friendly games in a warm and welcoming space at The Merchant's Guild!",gaming,gaming,https://www.whatsonglasgow.co.uk/event/161736-casual-sunday-chess/,https://www.whatsonnetwork.co.uk/uploads/800x600/2fce884826a213a21b8fc1bd735e3939.jpg
Cathcart Model Railway Exhibition,25th October 2025 - 26th October 2025,"Pollokshaws Burgh Hall, Glasgow South Side",The annual Cathcart Model Railway Exhibition returns to Pollokshaws Burgh Hall on Saturday 25th and Sunday 26th October!,days-out,days-out|exhibitions|family-and-kids,https://www.whatsonglasgow.co.uk/event/010501-cathcart-model-railway-exhibition/,https://www.whatsonnetwork.co.uk/uploads/800x600/e814142d1e0508f598260a1ea8e0b30b.jpg
Ciara Phillips - Undoing it,22nd March 2025 - 26th October 2025,"Gallery of Modern Art, Glasgow City Centre","Undoing It at the Gallery of Modern Art is a new solo exhibition by Canadian/Irish artist Ciara Phillips, of woodcuts, etchings and screen-prints.",exhibitions,exhibitions,https://www.whatsonglasgow.co.uk/event/151826-ciara-phillips---undoing-it/,https://www.whatsonnetwork.co.uk/uploads/800x600/0898ec025d163c0cd4132d8f2309d147.jpg
Creative Citizens,22nd October 2025 - 1st June 2026,"Kelvingrove Art Gallery and Museum, Glasgow West End","Curated by artist Rachel Mimiec, this display in Kelvingrove's Community Gallery features props, costumes, and photography from all Creative Citizens productions!",exhibitions,exhibitions,https://www.whatsonglasgow.co.uk/event/164033-creative-citizens/,https://www.whatsonnetwork.co.uk/uploads/800x600/1388ef650889c012c42b17ab53361d43.jpg
Cups & Chronicles: Afternoon Adventures!,4th May 2025 - 28th December 2025,"Top Hat & Bishop, Glasgow City Centre","Join Top Hat & Bishop for an afternoon of thrilling one-shot adventures led by our welcoming Dungeon Masters—no experience needed, just bring your imagination!",gaming,gaming,https://www.whatsonglasgow.co.uk/event/154994-cups-&-chronicles:-afternoon-adventures!/,https://www.whatsonnetwork.co.uk/uploads/800x600/5e7ad9023e08b92fbe4f286f190d2f24.jpg
Curious About Glasgow - Quirky Heritage Walks for the Curious!,1st January 2024 - 31st December 2025,"Glasgow Central Station, Glasgow City Centre","Have fun discovering Glasgow on this award-winning, quirky, self-guided, heritage walk with a treasure hunt theme from Curious About!",active,active|family-and-kids|history|learning|tour,https://www.whatsonglasgow.co.uk/event/029428-curious-about-glasgow---quirky-heritage-walks-for-the-curious!/,https://www.whatsonnetwork.co.uk/uploads/800x600/8b06b609b910cc9187b9b918225f7a28.jpg
Daniel O’Reilly: Let’s Have It,26th October 2025,"The Pavilion Theatre Glasgow, Glasgow City Centre","Coming off the back of a 62 date sold-out tour, selling over 40,000 tickets, Daniel O'Reilly is embarking on his next national show and is bringing it to The Pavilion Theatre Glasgow in October!",comedy,comedy|nights-out,https://www.whatsonglasgow.co.uk/event/159012-daniel-o’reilly:-let’s-have-it/,https://www.whatsonnetwork.co.uk/uploads/800x600/16d8f91c20ae441b6406c539d0e69cf0.jpg
Daytripping,20th September 2025 - 17th January 2026,"Platform Glasgow, Glasgow East End","Daytripping at Platform is a collection of evocative photographs documenting the joy of day trips, celebrating people and place, taken by photographer Alan Dimmick.",exhibitions,exhibitions,https://www.whatsonglasgow.co.uk/event/159671-daytripping/,https://www.whatsonnetwork.co.uk/uploads/800x600/9cca289884306071c6bd4a6f919b8fc1.jpg
Discover! Weekend Sessions,4th January 2025 - 28th December 2025,"The Burrell Collection, Glasgow South Side","Join The Burrell Collection each weekend for a free drop in family session where you can get hands on and find out more about the collection through crafts, music and object handling!",family-and-kids,family-and-kids,https://www.whatsonglasgow.co.uk/event/133687-discover!-weekend-sessions/,https://www.whatsonnetwork.co.uk/uploads/800x600/8f9adecf3377d07142267445b06b5ac5.jpg
Do Not Disturb!,20th October 2025 - 20th November 2025,"Hillhead Library, Glasgow West End","Do Not Disturb! is a series of staged photographs created to tell the stories of those who have been, or still are, affected by poor mental health.",exhibitions,exhibitions|health-and-wellbeing,https://www.whatsonglasgow.co.uk/event/163108-do-not-disturb!/,https://www.whatsonnetwork.co.uk/uploads/800x600/78f50c35dffd0269fc04ad16dd527134.jpg
Dogs Trust Dog Training Classes,5th January 2025 - 28th December 2025,"Mount Vernon Community Hall, Glasgow East End","The Dogs Trust offer training classes for dogs at all stages of their lives, in a relaxed and enjoyable environment at Mount Vernon Community Hall!",family-and-kids,family-and-kids,https://www.whatsonglasgow.co.uk/event/102025-dogs-trust-dog-training-classes/,https://www.whatsonnetwork.co.uk/uploads/800x600/4948e57d3f86378bd67864f348c45ca5.jpg
Elder Park Junior Parkrun,5th January 2025 - 28th December 2025,"Elder Park, Glasgow South Side","Elder Park Junior Parkrun is a weekly, free 2km timed run held on Sunday mornings at Elder Park!",active,active|family-and-kids|outdoor,https://www.whatsonglasgow.co.uk/event/100345-elder-park-junior-parkrun/,https://www.whatsonnetwork.co.uk/uploads/800x600/ea80a759c74f5675c171cc662b027b45.jpg
Emily Scott Robinson,26th October 2025,"The Glad Cafe, Glasgow South Side",North Carolina native Emily Scott Robinson has announced a headline show at The Glad Cafe on Sunday 26th October!,music,music|nights-out,https://www.whatsonglasgow.co.uk/event/156089-emily-scott-robinson/,https://www.whatsonnetwork.co.uk/uploads/800x600/e7d74dc8611486ab1d898ffe42c679d5.jpg
Ethereal: International Photography Exhibition,3rd October 2025 - 31st October 2025,"The Glasgow Gallery of Photography: High Street, Glasgow City Centre","This October, The Glasgow Gallery of Photography will be displaying a month-long international photography exhibition with the theme Ethereal.",exhibitions,exhibitions,https://www.whatsonglasgow.co.uk/event/159705-ethereal:-international-photography-exhibition/,https://www.whatsonnetwork.co.uk/uploads/800x600/ddbe53666bb53553e009296b11383b22.jpg
Exhibition: A Visual Stroll Through Maryhill,10th September 2025 - 17th December 2025,"Maryhill Burgh Halls, Glasgow West End","The 'A Visual Stroll Through Maryhill' exhibition brings together a selection of photographs from the Maryhill Burgh Halls collection, capturing local streets, landmarks and landscapes.",exhibitions,exhibitions|history,https://www.whatsonglasgow.co.uk/event/161499-exhibition:-a-visual-stroll-through-maryhill/,https://www.whatsonnetwork.co.uk/uploads/800x600/775c274e1d947ae09e8e1be6ca9d7a24.jpg
Family Climbing Tasters,12th May 2025 - 31st December 2025,"The Climbing Academy Glasgow: The Prop Store, Glasgow North",These one-hour 'have-a-go' sessions are perfect for anyone curious about indoor climbing but not quite ready to commit to a full course!,active,active|family-and-kids,https://www.whatsonglasgow.co.uk/event/155639-family-climbing-tasters/,https://www.whatsonnetwork.co.uk/uploads/800x600/5fefa3e72df117f7d7c791e5e4be9074.jpg
Family Fun Sundays At The Grosvenor,10th November 2024 - 29th March 2026,"Grosvenor Cafe, Glasgow West End","Come join the Family Fun at The Grosvenor, Ashton Lane every Sunday from Midday, it's free to attend, all you need is your party outfit!",family-and-kids,family-and-kids,https://www.whatsonglasgow.co.uk/event/136919-family-fun-sundays-at-the-grosvenor/,https://www.whatsonnetwork.co.uk/uploads/800x600/d42f187be4d52189dd9921c37931ca61.jpg
Feed,13th September 2025 - 9th January 2026,"Gallery of Modern Art, Glasgow City Centre","Feed is an installation at GoMA promoting inclusive, sustainable approaches to infant feeding and public space.",exhibitions,exhibitions|health-and-wellbeing,https://www.whatsonglasgow.co.uk/event/163105-feed/,https://www.whatsonnetwork.co.uk/uploads/800x600/ac0b6cb9852976b5e86bc5ad9735b728.jpg
Film Screening: Can I Get a Witness?,26th October 2025,"Trongate 103, Glasgow City Centre","ESEA Creatives is hosting another film screening with MilkTea 'Can I Get A Witness?', starring Sandra Oh, at GMAC Film in Glasgow on Sunday 26th October.",film,film,https://www.whatsonglasgow.co.uk/event/163505-film-screening:-can-i-get-a-witness?/,https://www.whatsonnetwork.co.uk/uploads/800x600/5ec4dead99bbf0670b118f26615fc5a4.jpg
From Pit To Pitch: A Story Of Coal Seams & Football Dreams,20th November 2024 - 31st December 2025,"Scottish Football Museum, Glasgow South Side",From Pit To Pitch: A Story Of Coal Seams & Football Dreams at the Scottish Football Museum explores the links between mining and football in Scotland.,exhibitions,exhibitions|history,https://www.whatsonglasgow.co.uk/event/151203-from-pit-to-pitch:-a-story-of-coal-seams-&-football-dreams/,https://www.whatsonnetwork.co.uk/uploads/800x600/84e3b120d60bc4736368c7d49823b25c.jpg
Gartnavel Royal Summer House Residency,21st October 2025 - 1st October 2026,"Gartnavel General Hospital, Glasgow West End","Project Ability artists and inpatients from Gartnavel Royal Hospital reflect on ideas of comfort and disturbance in nature, with visits to the Gartnavel Summer House and gardens.",exhibitions,exhibitions|health-and-wellbeing,https://www.whatsonglasgow.co.uk/event/163106-gartnavel-royal-summer-house-residency/,https://www.whatsonnetwork.co.uk/uploads/800x600/33d8c0dd900b591ab21230bae0419c9a.jpg
Geilston Garden Halloween Trail,25th October 2025 - 26th October 2025,"Geilston Garden, Cardross",Join the team at Geilston Garden on Saturday 25th and Sunday 26th October for some Halloween fun the whole family can enjoy!,family-and-kids,family-and-kids|outdoor,https://www.whatsonglasgow.co.uk/event/161211-geilston-garden-halloween-trail/,https://www.whatsonnetwork.co.uk/uploads/800x600/b63c05864d1568f65d45b7a676fd6266.jpg
Gin Tour and Tastings,11th January 2025 - 28th December 2025,"Isle of Cumbrae Distillers, Millport",Isle of Cumbrae Distillers' Gin Tour and Tastings highlight the important role women played in the history of gin and showcase the colourful smuggling history of the Clyde and the history of Millport!,food-and-drink,food-and-drink|tour,https://www.whatsonglasgow.co.uk/event/103505-gin-tour-and-tastings/,https://www.whatsonnetwork.co.uk/uploads/800x600/00c341bf041b7f46e2c9d8bb9679328d.jpg
GlasGHOST: Glasgow’s Biggest Indoor Family Halloween Experience!,24th October 2025 - 26th October 2025,"SEC Centre, Glasgow West End","Get ready for a spook-tacular adventure this October when GlasGHOST, a thrilling, family-friendly Halloween event like no other, comes to the SEC Glasgow!",days-out,days-out|family-and-kids,https://www.whatsonglasgow.co.uk/event/158864-glasghost:-glasgow’s-biggest-indoor-family-halloween-experience!/,https://www.whatsonnetwork.co.uk/uploads/800x600/16c4a4413aa978e80ff2bd575cb8d1d6.jpg
GlasGLOW,24th October 2025 - 9th November 2025,"Glasgow Botanic Gardens, Glasgow West End","This Halloween season, the city we love turns 850 and GlasGLOW are throwing one GLOW-rious celebration with an all-new 60-minute blockbuster light and sound show at the Botanic Gardens!",family-and-kids,family-and-kids|nights-out|outdoor,https://www.whatsonglasgow.co.uk/event/064051-glasglow/,https://www.whatsonnetwork.co.uk/uploads/800x600/3c3810b5f9fe854b6896bb055a49e4ad.jpg
Glasgow 850,1st January 2025 - 31st December 2025,Venue TBA,2025 will be a big year for Glasgow as we celebrate the city's 850th birthday. It's a milestone and everyone who has or does call Glasgow home is invited to the party!,active,active|comedy|community|days-out|exhibitions,https://www.whatsonglasgow.co.uk/event/148355-glasgow-850/,https://www.whatsonnetwork.co.uk/uploads/800x600/4d6ddb7f1c0c3635baf756d9b95e3d93.jpg
Glasgow Black History Walking Tour,5th October 2025 - 29th October 2025,Venue TBA,"Take a historical journey through Glasgow's mercantile past and examine the city's connections with tobacco, slavery and the abolition movement on this tour as part of Black History Month Scotland.",family-and-kids,family-and-kids|history|tour,https://www.whatsonglasgow.co.uk/event/162403-glasgow-black-history-walking-tour/,https://www.whatsonnetwork.co.uk/uploads/800x600/8e08fbbb8b853004f6471818aae0a0d3.jpg
Glasgow Central Station Tours,1st January 2024 - 31st December 2025,"Glasgow Central Station, Glasgow City Centre","Glasgow Central Tours offer you the chance to explore behind the scenes of Glasgow's most iconic and busiest landmarks, Central Station!",history,history|talks-and-lectures|tour,https://www.whatsonglasgow.co.uk/event/017075-glasgow-central-station-tours/,https://www.whatsonnetwork.co.uk/uploads/800x600/e7edadd47e11d5e125f59ba1f3cd8459.jpg
Glasgow City Centre Walking Tour,11th January 2025 - 21st December 2025,"Glasgow City Chambers, Glasgow City Centre","This is a 1.5 hour tour that will take you around all the main sites of the city, giving you an excellent opportunity to find out about Glasgow's rich history and culture!",days-out,days-out|family-and-kids|history|outdoor|tour,https://www.whatsonglasgow.co.uk/event/066772-glasgow-city-centre-walking-tour/,https://www.whatsonnetwork.co.uk/uploads/800x600/520927bb756ba3b82b046ff330a12636.jpg
Glasgow Requiem: The Walk,1st January 2025 - 31st December 2025,"Glasgow Cathedral, Glasgow City Centre","Discover the hidden lives and stories of the city on an immersive audio journey through Glasgow with The Walk, FREE to experience for everyone.",history,history|tour,https://www.whatsonglasgow.co.uk/event/154896-glasgow-requiem:-the-walk/,https://www.whatsonnetwork.co.uk/uploads/800x600/869a842296a9b6086b51799714576335.jpg
Glasgow Street Art Walking Tour,11th January 2025 - 21st December 2025,Venue TBA,"Immerse yourself in a different side to Glasgow on this unique street art and modern culture tour, a popular tour for those looking to go off the beaten track!",family-and-kids,family-and-kids|outdoor|tour,https://www.whatsonglasgow.co.uk/event/075557-glasgow-street-art-walking-tour/,https://www.whatsonnetwork.co.uk/uploads/800x600/32dcb24a5ec998554e3b7764f43686b4.jpg
Good Move Glasgow Health Walks,1st January 2024 - 31st December 2025,Venue TBA,"Good Move Glasgow's Health Walks are easy, fun and free. What's more, with over 50 walks taking place each week, there's bound to be one near you!",active,active|family-and-kids|health-and-wellbeing|outdoor,https://www.whatsonglasgow.co.uk/event/030119-good-move-glasgow-health-walks/,https://www.whatsonnetwork.co.uk/uploads/800x600/28394b45ad50c3b8ef5c0e7fa9f7760b.jpg
Gothic Glasgow,2nd April 2025 - 31st December 2025,"Kings Theatre Glasgow, Glasgow City Centre","Join Gothic Glasgow's sinister host Vincent (The Man in the Hat), for a unique evening walking tour uncovering Glasgow's ghostly, strange, supernatural, creepy history!",family-and-kids,family-and-kids|history|nights-out|tour,https://www.whatsonglasgow.co.uk/event/106129-gothic-glasgow/,https://www.whatsonnetwork.co.uk/uploads/800x600/259b1a8251ad124ddaec91aa0c232180.jpg
Hailaker,26th October 2025,"King Tuts Wah Wah Hut, Glasgow City Centre","Following the back to back sold out headline shows that came at the end of 2024, Hailaker will bring their headline tour to Glasgow's King Tut's on Sunday 26th October!",music,music|nights-out,https://www.whatsonglasgow.co.uk/event/154296-hailaker/,https://www.whatsonnetwork.co.uk/uploads/800x600/77202bc3880c127093e657f746387e19.jpg
Halloween Family Friendly: Pottery Pumpkins,5th October 2025 - 26th October 2025,"The Craft Pottery Studio, Glasgow City Centre","Celebrate spooky season in style with this relaxing and creative, family friendly, Halloween pottery workshop hand-building your own decorative clay pumpkins at The Craft Pottery Studio!",arts-and-crafts,arts-and-crafts|family-and-kids|workshops,https://www.whatsonglasgow.co.uk/event/162417-halloween-family-friendly:-pottery-pumpkins/,https://www.whatsonnetwork.co.uk/uploads/800x600/cd9831cfe218a7ddd2c63f4e1dfed308.jpg
Hill House Halloween Trail,25th October 2025 - 26th October 2025,"The Hill House, Helensburgh",Join the team at the Hill House on Saturday 25th and Sunday 26th October for some Halloween fun the whole family can enjoy!,family-and-kids,family-and-kids|outdoor,https://www.whatsonglasgow.co.uk/event/161212-hill-house-halloween-trail/,https://www.whatsonnetwork.co.uk/uploads/800x600/dd98cfc5f683cb866a66712cffcab32d.jpg
Historic Tours of Glasgow University,7th January 2025 - 18th December 2025,"The University of Glasgow, Glasgow West End",Join a historic walking tour of the University of Glasgow the fourth oldest university in the English-speaking world!,family-and-kids,family-and-kids|history|tour,https://www.whatsonglasgow.co.uk/event/025975-historic-tours-of-glasgow-university/,https://www.whatsonnetwork.co.uk/uploads/800x600/01e98cea3c2dfbcae8bcf686be74245f.jpg
Identity: International Photography Exhibition,3rd October 2025 - 31st October 2025,"The Glasgow Gallery of Photography: High Street, Glasgow City Centre",For the month of October the Glasgow Gallery of Photography is showcasing the work of photographers from the UK and Internationally in an exhibition with the theme Identity.,exhibitions,exhibitions,https://www.whatsonglasgow.co.uk/event/141765-identity:-international-photography-exhibition/,https://www.whatsonnetwork.co.uk/uploads/800x600/ea011bfe4a687f409dfef3d0d82b143d.jpg
Innis and Gunn Pub Quiz on West Nile Street,7th January 2025 - 30th December 2025,"Innis & Gunn Brewery Taproom Glasgow City Centre, Glasgow City Centre",Sharp thinker? Get a team together for the weekly pub quiz at Innis and Gunn Brewery Taproom West Nile Street!,general,general,https://www.whatsonglasgow.co.uk/event/142943-innis-and-gunn-pub-quiz-on-west-nile-street/,https://www.whatsonnetwork.co.uk/uploads/800x600/1e4fd3e8308fe85b13dafc5515dcda22.jpg
